# Niv-Mizzet, Parun — selector CP-SAT (prototipo Fase 3)
# Construido en 0.02s | mainboard: 99 cartas
# Solver: status OPTIMAL, 0.01s de resolución, etapa de relajación: none
# Objetivo: 47.2436 (score bruto 47.2436, penalizaciones escaladas 0)
# Fixing color (fuentes/objetivo): R: 35/35, U: 37/35

## Resumen de cuotas
categoría      n  banda      estado
lands         36  [36-39]    in_range  (suelo Karsten: 33, mínimo efectivo: 36)
ramp          12  [ 9-12]    in_range
card_draw     12  [ 9-12]    in_range
removal       11  [ 8-11]    in_range
board_wipe     4  [ 3- 5]    in_range
wincons        2  [ 2- 4]    in_range
synergy       25  [ 0-28]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (36)
1x Command Tower                              score 0.87  [lands]  cp-sat, score 0.87
1x Reliquary Tower                            score 0.69  [lands]  cp-sat, score 0.69
1x Sulfur Falls                               score 0.68  [lands]  cp-sat, score 0.68
1x Shivan Reef                                score 0.64  [lands]  cp-sat, score 0.64
1x Izzet Boilerworks                          score 0.61  [lands]  cp-sat, score 0.61
1x Temple of Epiphany                         score 0.60  [lands]  cp-sat, score 0.60
1x Swiftwater Cliffs                          score 0.51  [lands]  cp-sat, score 0.51
1x Steam Vents                                score 0.51  [lands]  cp-sat, score 0.51
1x Frostboil Snarl                            score 0.47  [lands]  cp-sat, score 0.47
1x Cascade Bluffs                             score 0.47  [lands]  cp-sat, score 0.47
1x Mystic Sanctuary                           score 0.46  [lands]  cp-sat, score 0.46
1x Izzet Guildgate                            score 0.42  [lands]  cp-sat, score 0.42
1x Training Center                            score 0.36  [lands]  cp-sat, score 0.36
1x Evolving Wilds                             score 0.36  [lands]  cp-sat, score 0.36
1x Stormcarved Coast                          score 0.36  [lands]  cp-sat, score 0.36
1x Exotic Orchard                             score 0.35  [lands]  cp-sat, score 0.35
1x Fiery Islet                                score 0.33  [lands]  cp-sat, score 0.33
1x Scalding Tarn                              score 0.30  [lands]  cp-sat, score 0.30
1x Riverglide Pathway // Lavaglide Pathway    score 0.25  [lands]  cp-sat, score 0.25
1x Terramorphic Expanse                       score 0.24  [lands]  cp-sat, score 0.24
1x Ferrous Lake                               score 0.24  [lands]  cp-sat, score 0.24
1x Ojer Axonil, Deepest Might // Temple of Power score 0.24  [lands]  cp-sat, score 0.24
1x Cephalid Coliseum                          score 0.19  [lands]  cp-sat, score 0.19
1x Spirebluff Canal                           score 0.18  [lands]  cp-sat, score 0.18
1x Highland Lake                              score 0.18  [lands]  cp-sat, score 0.18
1x Lonely Sandbar                             score 0.18  [lands]  cp-sat, score 0.18
1x Forgotten Cave                             score 0.17  [lands]  cp-sat, score 0.17
1x City of Brass                              score 0.15  [lands]  cp-sat, score 0.15
1x Thundering Falls                           score 0.15  [lands]  cp-sat, score 0.15
1x Volcanic Island                            score 0.14  [lands]  cp-sat, score 0.14
1x Hydroelectric Specimen // Hydroelectric Laboratory score 0.14  [lands]  cp-sat, score 0.14
1x Flooded Strand                             score 0.13  [lands]  cp-sat, score 0.13
1x Path of Ancestry                           score 0.13  [lands]  cp-sat, score 0.13
1x Molten Tributary                           score 0.13  [lands]  cp-sat, score 0.13
1x Polluted Delta                             score 0.13  [lands]  cp-sat, score 0.13
1x Mana Confluence                            score 0.13  [lands]  cp-sat, score 0.13

### ramp (12)
1x Arcane Signet                              score 0.84  [ramp]  cp-sat, score 0.84
1x Izzet Signet                               score 0.83  [ramp]  cp-sat, score 0.83
1x Goblin Electromancer                       score 0.81  [ramp]  cp-sat, score 0.81
1x Sol Ring                                   score 0.78  [ramp]  cp-sat, score 0.78
1x Storm-Kiln Artist                          score 0.63  [ramp]  cp-sat, score 0.63
1x Talisman of Creativity                     score 0.59  [ramp]  cp-sat, score 0.59
1x Commander's Sphere                         score 0.58  [ramp]  cp-sat, score 0.58
1x Baral, Chief of Compliance                 score 0.56  [ramp]  cp-sat, score 0.56
1x Decanter of Endless Water                  score 0.43  [ramp]  cp-sat, score 0.43
1x Thought Vessel                             score 0.42  [ramp]  cp-sat, score 0.42
1x Fellwar Stone                              score 0.41  [ramp]  cp-sat, score 0.41
1x Vivi Ornitier                              score 0.30  [ramp]  cp-sat, score 0.30

### card_draw (11)
1x Curiosity                                  score 1.22  [card_draw]  cp-sat, score 1.22
1x Brainstorm                                 score 1.05  [card_draw]  cp-sat, score 1.05
1x Ophidian Eye                               score 0.89  [card_draw]  cp-sat, score 0.89
